input_geo,indicator_name,value,indicator_subgroup,indicator_group,year,source_name,indicator_topic,indicator_subtopic,geo_name,geo_code,geo_iso,geo_parent,geo_level
Lithuania,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lithuania,440.0,LT,154.0,5.0
Luxembourg,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Luxembourg,442.0,LU,155.0,5.0
Malta,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Malta,470.0,MT,39.0,5.0
Monaco,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Monaco,492.0,MC,155.0,5.0
Netherlands,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Netherlands,528.0,NL,155.0,5.0
New Zealand,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,New Zealand,554.0,NZ,53.0,5.0
Norway,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Norway,578.0,NO,154.0,5.0
Oman,renewable energy in indc or ndc,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Oman,512.0,OM,145.0,5.0
Palau,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Palau,585.0,PW,57.0,5.0
Panama,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Panama,591.0,PA,13.0,5.0
Poland,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Poland,616.0,PL,151.0,5.0
Portugal,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Portugal,620.0,PT,39.0,5.0
Qatar,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Qatar,634.0,QA,145.0,5.0
San Marino,renewable energy in indc or ndc,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,San Marino,674.0,SM,39.0,5.0
Saudi Arabia,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saudi Arabia,682.0,SA,145.0,5.0
Seychelles,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Seychelles,690.0,SC,14.0,5.0
Singapore,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Singapore,702.0,SG,35.0,5.0
Slovenia,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Slovenia,705.0,SI,39.0,5.0
Spain,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Spain,724.0,ES,39.0,5.0
St. Kitts and Nevis,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Kitts and Nevis,659.0,KN,29.0,5.0
Sweden,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sweden,752.0,SE,154.0,5.0
Switzerland,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Switzerland,756.0,CH,155.0,5.0
Trinidad and Tobago,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Trinidad and Tobago,780.0,TT,29.0,5.0
United Arab Emirates,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United Arab Emirates,784.0,AE,145.0,5.0
United Kingdom,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United Kingdom,826.0,GB,154.0,5.0
United States,renewable energy in indc or ndc,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United States of America,840.0,US,21.0,5.0
Uruguay,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Uruguay,858.0,UY,5.0,5.0
Albania,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Albania,8.0,AL,39.0,5.0
Algeria,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Algeria,12.0,DZ,15.0,5.0
Armenia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Armenia,51.0,AM,145.0,5.0
Azerbaijan,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Azerbaijan,31.0,AZ,145.0,5.0
Belarus,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Belarus,112.0,BY,151.0,5.0
Belize,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Belize,84.0,BZ,13.0,5.0
Bosnia and Herzegovina,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bosnia and Herzegovina,70.0,BA,39.0,5.0
Botswana,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Botswana,72.0,BW,18.0,5.0
Brazil,renewable energy in indc or ndc,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Brazil,76.0,BR,5.0,5.0
Bulgaria,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bulgaria,100.0,BG,151.0,5.0
China,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,China,156.0,CN,30.0,5.0
Colombia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Colombia,170.0,CO,5.0,5.0
Costa Rica,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Costa Rica,188.0,CR,13.0,5.0
Cuba,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cuba,192.0,CU,29.0,5.0
Dominica,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Dominica,212.0,DM,29.0,5.0
Dominican Republic,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Dominican Republic,214.0,DO,29.0,5.0
Ecuador,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ecuador,218.0,EC,5.0,5.0
Equatorial Guinea,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Equatorial Guinea,226.0,GQ,17.0,5.0
Fiji,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Fiji,242.0,FJ,54.0,5.0
Gabon,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Gabon,266.0,GA,17.0,5.0
Grenada,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Grenada,308.0,GD,29.0,5.0
Guatemala,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guatemala,320.0,GT,13.0,5.0
Guyana,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guyana,328.0,GY,5.0,5.0
Iran,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Iran,364.0,IR,34.0,5.0
Iraq,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Iraq,368.0,IQ,145.0,5.0
Jamaica,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Jamaica,388.0,JM,29.0,5.0
Jordan,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Jordan,400.0,JO,145.0,5.0
Kazakhstan,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kazakhstan,398.0,KZ,143.0,5.0
Lebanon,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lebanon,422.0,LB,145.0,5.0
Libya,renewable energy in indc or ndc,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Libya,434.0,LY,15.0,5.0
North Macedonia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,North Macedonia,807.0,MK,39.0,5.0
Malaysia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Malaysia,458.0,MY,35.0,5.0
Maldives,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Maldives,462.0,MV,34.0,5.0
Marshall Islands,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Marshall Islands,584.0,MH,57.0,5.0
Mauritius,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mauritius,480.0,MU,14.0,5.0
Mexico,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mexico,484.0,MX,13.0,5.0
Montenegro,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Montenegro,499.0,ME,39.0,5.0
Namibia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Namibia,516.0,NA,18.0,5.0
Nauru,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nauru,520.0,NR,57.0,5.0
Paraguay,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Paraguay,600.0,PY,5.0,5.0
Peru,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Peru,604.0,PE,5.0,5.0
Romania,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Romania,642.0,RO,151.0,5.0
Russian Federation,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Russian Federation,643.0,RU,151.0,5.0
Samoa,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Samoa,882.0,WS,61.0,5.0
Serbia,renewable energy in indc or ndc,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Serbia,688.0,RS,39.0,5.0
South Africa,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,South Africa,710.0,ZA,18.0,5.0
St. Lucia,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Lucia,662.0,LC,29.0,5.0
St. Vincent and the Grenadines,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Vincent and the Grenadines,670.0,VC,29.0,5.0
Suriname,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Suriname,740.0,SR,5.0,5.0
Thailand,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Thailand,764.0,TH,35.0,5.0
Tonga,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Tonga,776.0,TO,61.0,5.0
Turkey,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Turkey,792.0,TR,145.0,5.0
Turkmenistan,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Turkmenistan,795.0,TM,143.0,5.0
Tuvalu,renewable energy in indc or ndc,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Tuvalu,798.0,TV,61.0,5.0
Angola,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Angola,24.0,AO,17.0,5.0
Bangladesh,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bangladesh,50.0,BD,34.0,5.0
Bhutan,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bhutan,64.0,BT,34.0,5.0
Bolivia,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bolivia,68.0,BO,5.0,5.0
Cape Verde,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cabo Verde,132.0,CV,11.0,5.0
Cambodia,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cambodia,116.0,KH,35.0,5.0
Cameroon,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cameroon,120.0,CM,17.0,5.0
"Congo, Republic of",renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Democratic Republic of the Congo,180.0,CD,17.0,5.0
Cote d'Ivoire,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Côte d’Ivoire,384.0,CI,11.0,5.0
Djibouti,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Djibouti,262.0,DJ,14.0,5.0
Egypt,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Egypt,818.0,EG,15.0,5.0
El Salvador,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,El Salvador,222.0,SV,13.0,5.0
Eswatini ,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Eswatini,748.0,SZ,18.0,5.0
Georgia,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Georgia,268.0,GE,145.0,5.0
Ghana,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ghana,288.0,GH,11.0,5.0
Honduras,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Honduras,340.0,HN,13.0,5.0
India,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,India,356.0,IN,34.0,5.0
Indonesia,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Indonesia,360.0,ID,35.0,5.0
Kenya,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kenya,404.0,KE,14.0,5.0
Kiribati,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kiribati,296.0,KI,57.0,5.0
Kyrgyzstan,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kyrgyzstan,417.0,KG,143.0,5.0
Lesotho,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lesotho,426.0,LS,18.0,5.0
Mauritania,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mauritania,478.0,MR,11.0,5.0
Moldova,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Moldova,498.0,MD,151.0,5.0
Mongolia,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mongolia,496.0,MN,30.0,5.0
Morocco,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Morocco,504.0,MA,15.0,5.0
Myanmar,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Myanmar,104.0,MM,35.0,5.0
Nicaragua,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nicaragua,558.0,NI,13.0,5.0
Nigeria,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nigeria,566.0,NG,11.0,5.0
Pakistan,renewable energy in indc or ndc,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Pakistan,586.0,PK,34.0,5.0
